name,municipality,code,coordinates
Qeqertaq Heliport,Qeqertaq,QQT,"-51.3009166718, 69.9958611087"
Qaanaaq Airport,Qaanaaq,NAQ,"-69.3887023926, 77.4886016846"
Ittoqqortoormiit Heliport,Ittoqqortoormiit,OBY,"-21.971679925900002, 70.4882288244"
Kangerlussuaq Airport,Kangerlussuaq,SFJ,"-50.7116031647, 67.0122218992"
Siorapaluk Heliport,Siorapaluk,SRK,"-70.638657, 77.786517"
Saarloq Heliport,,QOQ,"-46.024722, 60.537778"
Sisimiut Airport,Sisimiut,JHS,"-53.729301, 66.951302"
Savissivik Heliport,Savissivik,SVR,"-65.117683, 76.018613"
Tasiusaq (Qaasuitsup) Heliport,Upernavik,TQA,"-56.06028, 73.373055"
Thule Air Base,Thule,THU,"-68.7032012939, 76.5311965942"
Tiniteqilaaq Heliport,Tiniteqilaaq,TQI,"-37.783409, 65.892027"
Upernavik Airport,Upernavik,JUV,"-56.1305999756, 72.7901992798"
Uummannaq Heliport,Uummannaq,UMD,"-52.111630439799995, 70.6804279261"
Qaarsut Airport,Uummannaq,JQA,"-52.6962013245, 70.7341995239"
Ukkusissat Heliport,Ukkusissat,JUK,"-51.890016, 71.049438"
BahÃ­a de los Ãngeles Airport,BahÃ­a de los Ãngeles,BHL,"-113.560997, 28.9786"
Brighton Downs Airport,,BHT,"141.562777778, -23.3638888889"
Akureyri Airport,Akureyri,AEY,"-18.07270050048828, 65.66000366210938"
Bildudalur Airport,Bildudalur,BIU,"-23.546199798583984, 65.64129638671875"
BorgarfjÃ¶rÃ°ur eystri Airport,BorgarfjÃ¶rÃ°ur eystri,BGJ,"-13.805000305175781, 65.51640319824219"
BakkafjÃ¶rÃ°ur Airport,BakkafjÃ¶rÃ°ur,BJD,"-14.824399948120117, 66.02189636230469"
Hjaltabakki Airport,BlÃ¶nduÃ³s,BLO,"-20.287500381469727, 65.6449966430664"
BÃºÃ°ardalur Airport,BÃºÃ°ardalur,BQD,"-21.80030059814453, 65.07530212402344"
BreiÃ°dalsvÃ­k Airport,BreiÃ°dalsvÃ­k,BXV,"-14.02280044555664, 64.79000091552734"
DjÃºpivogur Airport,DjÃºpivogur,DJU,"-14.28279972076416, 64.64420318603516"
EgilsstaÃ°ir Airport,EgilsstaÃ°ir,EGS,"-14.401399612426758, 65.2833023071289"
FÃ¡skrÃºÃ°sfjÃ¶rÃ°ur Airport,FÃ¡skrÃºÃ°sfjÃ¶rÃ°ur,FAS,"-14.0606002808, 64.9317016602"
FagurhÃ³lsmÃ½ri Airport,FagurhÃ³lsmÃ½ri,FAG,"-16.64109992980957, 63.874698638916016"
GrundarfjÃ¶rÃ°ur Airport,GrundarfjÃ¶rÃ°ur,GUU,"-23.224700927734375, 64.99140167236328"
GjÃ¶gur Airport,GjÃ¶gur,GJR,"-21.326900482177734, 65.99530029296875"
GrÃ­msey Airport,GrÃ­msey,GRY,"-18.0173, 66.5458"
HÃ³lmavÃ­k Airport,HÃ³lmavÃ­k,HVK,"-21.696399688720703, 65.70469665527344"
HornafjÃ¶rÃ°ur Airport,HÃ¶fn,HFN,"-15.2272, 64.295601"
Holt Airport,Flateyri,FLI,"-23.4416913986, 66.0141804294"
HÃºsavÃ­k Airport,HÃºsavÃ­k,HZK,"-17.426001, 65.952301"
KrÃ³kstaÃ°armelar Airport,Hvammstangi,HVM,"-20.846900939941406, 65.26640319824219"
IngjaldssanÃ°ur Airport,OnundarfjÃ¶rÃ°ur,HLO,"-23.69610023498535, 66.05000305175781"
ÃsafjÃ¶rÃ°ur Airport,ÃsafjÃ¶rÃ°ur,IFJ,"-23.135299682617188, 66.05809783935547"
Biliau Airport,Biliau,BIJ,"146.339, -5.578"
Keflavik International Airport,ReykjavÃ­k,KEF,"-22.6056, 63.985001"
KÃ³pasker Airport,KÃ³pasker,OPA,"-16.466699600219727, 66.31079864501953"
SauÃ°Ã¡rkrÃ³kur Airport,SauÃ°Ã¡rkrÃ³kur,SAK,"-19.572799682599996, 65.73169708249999"
NorÃ°fjÃ¶rÃ°ur Airport,NorÃ°fjÃ¶rÃ°ur,NOR,"-13.746399879455566, 65.13189697265625"
ÃlafsfjÃ¶rÃ°ur Airport,ÃlafsfjÃ¶rÃ°ur,OFJ,"-18.66670036315918, 66.08329772949219"
PatreksfjÃ¶rÃ°ur Airport,PatreksfjÃ¶rÃ°ur,PFJ,"-23.965, 65.555801"
ReykhÃ³lar Airport,ReykhÃ³lar,RHA,"-22.20611572265625, 65.45262908935547"
Rif Airport,Rif,OLI,"-23.8230991364, 64.9113998413"
RaufarhÃ¶fn Airport,RaufarhÃ¶fn,RFN,"-15.918299674987793, 66.40640258789062"
Reykjavik Airport,Reykjavik,RKV,"-21.9405994415, 64.1299972534"
ReykjahlÃ­Ã° Airport,Myvatn,MVA,"-16.918100357055664, 65.65579986572266"
SiglufjÃ¶rÃ°ur Airport,SiglufjÃ¶rÃ°ur,SIJ,"-18.9167, 66.133301"
StykkishÃ³lmur Airport,StykkishÃ³lmur,SYK,"-22.794200897216797, 65.05809783935547"
Ãingeyri Airport,Ãingeyri,TEY,"-23.559999465942383, 65.87030029296875"
Thorshofn Airport,Thorshofn,THO,"-15.335599899291992, 66.21849822998047"
Vestmannaeyjar Airport,Vestmannaeyjar,VEY,"-20.278900146484375, 63.42430114746094"
VopnafjÃ¶rÃ°ur Airport,VopnafjÃ¶rÃ°ur,VPN,"-14.850600242614746, 65.72059631347656"
Bimin Airport,,BIZ,"142.033055556, -5.28611111111"
Baleela Airport,Baleela Base Camp,BJE,"28.5230555556, 11.199444444400001"
Bahja Airport,Bahja,BJQ,"56.067777777799996, 19.8730555556"
Bentota River Waterdrome,Bentota,BJT,"79.996, 6.431"
PriÅ¡tina International Airport,Prishtina,PRN,"21.035801, 42.5728"
Bomai Airport,Bomai,BMH,"144.637, -6.37316666667"
Bamburi Airport,,BMQ,"39.730768, -3.98191"
Bamu Airport,Bamu,BMZ,"143.2433, -7.8485"
Baranof Warm Springs Float and Seaplane Base,Baranof,BNF,"-134.833146, 57.088799"
Bodinumu Airport,Bodinumu,BNM,"147.666722222, -9.107777777779999"
Baganga airport,Baganga,BNQ,"126.568888889, 7.611944444440001"
Bundi Airport,Bundi,BNT,"145.2275, -5.742222222220001"
Boana Airport,Boana,BNV,"146.825, -6.433"
Banz Airport,Banz,BNZ,"144.623, -5.807"
Rurenabaque Airport,Rurenabaque,RBQ,"-67.4968032837, -14.427900314299999"
Baures Airport,Baures,BVL,"-63.5833320618, -13.583333015400001"
Bolling Air Force Base,Washington,BOF,"-77.0160980225, 38.842899322499996"
Brookings Airport,Brookings,BOK,"-124.290001, 42.0746"
Boku Airport,Boku,BOQ,"155.3419, -6.5427"
Bosset Airport,Bosset,BOT,"141.1063222, -7.237257"
Boang Airport,Boang Island,BOV,"153.2812, -3.3834"
Batuna Aerodrome,Batuna Mission Station,BPF,"158.119305556, -8.56202777778"
Bartlett Cove Seaplane Base,Gustavus,BQV,"-135.884994507, 58.4552001953"
TucumÃ£ Airport,TucumÃ£,TUZ,"-51.1478, -6.7488"
Alenquer Airport,Alenquer,ALT,"-54.7231, -1.917"
Suia-Missu Airport,Alto Boa Vista,SWM,"-51.43470001220703, -11.671699523925781"
Whitesburg Municipal Airport,Whitesburg,BRG,"-82.8742, 37.2219"
Bimini North Seaplane Base,Bimini,NSB,"-79.25, 25.767000198364258"
Bensbach Airport,Bensbach,BSP,"141.259444444, -8.85805555556"
Besakoa Airport,Besakoa,BSV,"47.0616666667, -15.6725"
Bulolo Airport,Bulolo,BUL,"146.649541855, -7.216286671410001"
Bolovip Airstrip,Bolovip,BVP,"141.655, -5.3633"
Esperadinha Airport,Brava Island,BVR,"-24.746, 14.864305555600001"
Hukuntsi Airport,Hukuntsi,HUK,"21.758101, -23.9897"
Bawan Airport,,BWJ,"146.881666667, -6.396944444440001"
Bewani Airport,Bewani,BWP,"141.165277778, -3.0216666666700003"
Blue Lagoon Seaplane Base,Nanuya Lailai Island,BXL,"177.368, -16.943"
Bunsil Airport,Bunsil - Umboi Island,BXZ,"147.8667, -5.7243"
Boundary Airport,Boundary,BYA,"-141.113006592, 64.0783004761"
Bella Yella Airport,Beliyela,BYL,"-9.99372222222, 7.36916666667"
Beira Lake Seaplane Base,Colombo,BYV,"79.85416666670001, 6.9294444444400005"
Hector Silva Airstrip,Belmopan,BCV,"-88.776496, 17.269603"
Big Creek Airport,Big Creek,BGK,"-88.40791320800781, 16.51936912536621"
Caye Caulker Airport,Caye Caulker,CUK,"-88.03250122070312, 17.734699249267578"
Caye Chapel Airport,Caye Chapel,CYC,"-88.04109954833984, 17.7007999420166"
Corozal Municipal Airport,Corozal,CZH,"-88.41190338134766, 18.382200241088867"
Dangriga Airport,Dangriga,DGA,"-88.23098754882812, 16.98250961303711"
Independence Airport,Independence,INB,"-88.44129943847656, 16.534500122070312"
Melinda Airport,Melinda,MDB,"-88.30419921880001, 17.0042991638"
Orange Walk Airport,Orange Walk,ORZ,"-88.58386993410001, 18.0467662811"
Placencia Airport,Placencia,PLJ,"-88.36151123046875, 16.536956787109375"
Punta Gorda Airport,Punta Gorda,PND,"-88.80829620360001, 16.102399826"
Sartaneja Airport,Sartaneja,SJX,"-88.13079833984375, 18.35610008239746"
San Pedro Airport,San Pedro,SPR,"-87.9711, 17.9139"
Matthew Spain Airport,San Ignacio,SQS,"-89.0098, 17.1859"
Santa Cruz Airport,Santa Cruz,STU,"-88.456298828125, 18.2721004486084"
Silver Creek Airport,Silver Creek,SVK,"-88.33999633789062, 16.725299835205078"
Belize City Municipal Airport,Belize City,TZA,"-88.19444274902344, 17.516389846801758"
Bazaruto Island Airport,Bazaruto Island,BZB,"35.4729, -21.5411"
Bemolanga Airport,Bemolanga,BZM,"45.0888333333, -17.6925"
Buzzards Point Seaplane Base,Washington,BZS,"-77.011, 38.863"
Blissville Airport,Blissville,YYS,"-66.543678, 45.605633"
Clinton Creek Airport,Clinton Creek Mine,YLM,"-140.741748, 64.475545"
Deception Airport,,YGY,"-74.554681778, 62.112314446199996"
Lady Franklin Point Airport,,YUJ,"-113.224411011, 68.4753126151"
Lupin Airport,Lupin Mine,YWO,"-111.25, 65.7666702271"
Moose Lake Airport,,YAD,"-100.343971252, 53.7062589637"
Mould Bay Airport,Prince Patrick Is.,YMD,"-119.3216, 76.2392"
Paradise River Airport,,YDE,"-57.233333587646, 53.43"
Rivers Airport,,YYI,"-100.313930511, 50.010055763699995"
Saglek Airport,RCAF Station Saglek,YSV,"-62.655373, 58.475119"
Terrace Bay Airport,"Terrace Bay, ON",YTJ,"-87.09943771360001, 48.81197898719999"
Winisk Airport,Winisk,YWN,"-85.1174, 55.2242"
Stuart Island Airstrip,Big Bay,YRR,"-125.131616592, 50.4094474336"
Mary River Aerodrome,,YMV,"-79.3569444444, 71.3241666667"
Bedwell Harbour Seaplane Base,Bedwell Harbour,YBW,"-123.233001709, 48.75"
Tofino Harbour Seaplane Base,Tofino Harbour,YTP,"-125.91, 49.155"
Bronson Creek Airport,Bronson Creek,YBM,"-131.087005615, 56.681098938"
Alice Arm/Silver City Seaplane Base,,ZAA,"-129.483001709, 55.4667015076"
Nanaimo Harbour Water Airport,Nanaimo,ZNA,"-123.949996948, 49.1833000183"
Trail Airport,Trail,YZZ,"-117.60900116, 49.0555992126"
Merritt Airport,Merritt,YMB,"-120.747001648, 50.122798919699996"
Campbell River Seaplane Base,Campbell River,YHH,"-125.25, 50.049999"
Whistler/Green Lake Water Aerodrome,Whistler,YWS,"-122.948997498, 50.1436004639"
Bamfield Seaplane Base,Bamfield,YBF,"-125.133003235, 48.8333015442"
Big Bay Seaplane Base,Stuart Island,YIG,"-125.1372, 50.3923"
Chilko Lake (Tsylos Park Lodge) Airport,Chilko Lake,CJH,"-124.141998291, 51.626098632799994"
Pender Harbour Seaplane Base,,YPT,"-124.024884, 49.623785"
Ocean Falls Seaplane Base,Ocean Falls,ZOF,"-127.717002869, 52.3666992188"
Courtenay Airpark,Courtenay,YCA,"-124.9820022583, 49.679401397705"
Creston Valley Regional Airport - Art Sutcliffe Field,Creston,CFQ,"-116.49800109863, 49.03689956665"
Anahim Lake Airport,Anahim Lake,YAA,"-125.3030014038086, 52.45249938964844"
Douglas Lake Airport,Douglas Lake,DGF,"-120.171273351, 50.1654600485"
Fort MacKay/Albian Aerodrome,Albian Village,JHL,"-111.418998718, 57.223899841299996"
Tahsis Seaplane Base,Tahsis,ZTS,"-126.666999817, 49.916698455799995"
Duncan Airport,Duncan,DUQ,"-123.709702492, 48.7545336204"
Port Simpson Seaplane Base,Lax Kw'alaams,YPI,"-130.432999, 54.5667"
Sechelt-Gibsons Airport,Sechelt,YHS,"-123.71900177, 49.460601806599996"
Kitkatla Seaplane Base,Kitkatla,YKK,"-130.432998657, 53.7999992371"
Powell Lake Seaplane Base,,WPL,"-124.532997131, 49.8833007812"
Qualicum Beach Airport,Qualicum Beach,XQU,"-124.393997, 49.3372"
Port Mcneill Airport,Port Mcneill,YMP,"-127.028999329, 50.5755996704"
Rivers Inlet Seaplane Base,Rivers Inlet,YRN,"-127.264044, 51.683985"
Sullivan Bay Seaplane Base,Sullivan Bay,YTG,"-126.831069, 50.885359"
Mansons Landing Seaplane Base,,YMU,"-124.983001709, 50.0666999817"
Mayne Island Seaplane Base,Miners Bay,YAV,"-123.300003052, 48.8666992188"
Bella Bella/Shearwater Seaplane Base,Bella Bella,YSX,"-128.08299, 52.150002"
Ganges Seaplane Base,Salt Spring Island,YGG,"-123.4969, 48.8545"
Hartley Bay Seaplane Base,Hartley Bay,YTB,"-129.25, 53.416698"
Cache Creek-Ashcroft Regional Airport,Cache Creek,YZA,"-121.321314, 50.775258"
Bella Bella (Campbell Island) Airport,Bella Bella,ZEL,"-128.156994, 52.185001"
Cherrabun Airport,,CBC,"125.537777778, -18.917777777800005"
Telegraph Creek Airport,Telegraph Creek,YTX,"-131.117007, 57.916698"
Alberni Valley Regional Airport,Port Alberni,YPB,"-124.931, 49.321899"
Bob Quinn Lake Airport,Bob Quinn Lake,YBO,"-130.25, 56.9667015076"
Tungsten (Cantung) Airport,Tungsten,TNS,"-128.20300292969, 61.956901550293"
Tumbler Ridge Airport,Tumbler Ridge,TUX,"-120.93499755859, 55.025001525879"
Williams Harbour Airport,Williams Harbour,YWM,"-55.784698486328125, 52.566898345947266"
Postville Airport,Postville,YSO,"-59.78507, 54.9105"
Black Tickle Airport,Black Tickle,YBI,"-55.784999847399995, 53.4693984985"
St. Lewis (Fox Harbour) Airport,St. Lewis,YFX,"-55.67390060424805, 52.372798919677734"
Port Hope Simpson Airport,Port Hope Simpson,YHA,"-56.28609848022461, 52.528099060058594"
Rigolet Airport,Rigolet,YRG,"-58.45750045776367, 54.1796989440918"
Diavik Airport,Diavik,DVK,"-110.289001465, 64.5113983154"
Doris Lake,Hope Bay,JOJ,"-106.585281372, 68.1252746582"
Fairview Airport,Fairview,ZFW,"-118.434997559, 56.081401825"
Hinton/Jasper-Hinton Airport,Hinton,YJP,"-117.752998352, 53.3191986084"
WhatÃ¬ Airport,WhatÃ¬,YLE,"-117.24600219726562, 63.13169860839844"
Grande Cache Airport,Grande Cache,YGC,"-118.87400054932, 53.916900634766"
Drayton Valley Industrial Airport,Drayton Valley,YDC,"-114.95999908447, 53.265800476074"
Fort McMurray / Mildred Lake Airport,Fort McMurray,NML,"-111.573997498, 57.0555992126"
Conklin (Leismer) Airport,Conklin,CFM,"-111.278999, 55.695301"
St. Paul Airport,St. Paul,ZSP,"-111.379997253, 53.9933013916"
Taltheilei Narrows Airport,Taltheilei Narrows,GSL,"-111.542999268, 62.5980987549"
Macmillan Pass Airport,Macmillan Pass,XMP,"-130.20199585, 63.181098938"
Great Bear Lake Airport,Great Bear Lake,DAS,"-119.707000732, 66.7031021118"
Fort Mackay / Firebag,Suncor Energy Site,YFI,"-110.976666, 57.275833"
WekweÃ¨tÃ¬ Airport,WekweÃ¨tÃ¬,YFJ,"-114.077002, 64.190804"
Donnelly Airport,Donnelly,YOE,"-117.094002, 55.7094"
Cheadle Airport,Cheadle,TIL,"-113.62400054932, 51.057498931885"
Okoyo Airport,Okoyo,OKG,"15.073300361633, -1.4483300447464"
Craig Seaplane Base,Craig,CGA,"-133.1479949951172, 55.47880172729492"
Cape Gloucester Airport,Cape Gloucester,CGC,"148.432417, -5.458965"
Casiguran Airport,Casiguran,CGG,"122.0651, 16.1941"
Gahcho Kue,,GHK,"-109.144812, 63.435198"
Chinguetti Airport,Chinguetti,CGT,"-12.3978, 20.5055"
Circle Hot Springs Airport,Circle Hot Springs,CHP,"-144.610992432, 65.485496521"
Chomley Seaplane Base,Chomley,CIV,"-132.21, 55.217"
Laurie River Airport,Laurie River,LRQ,"-101.304000854, 56.2486000061"
Hatchet Lake Airport,Hatchet Lake,YDJ,"-103.53800201416, 58.662498474121"
Kasba Lake Airport,Kasba Lake,YDU,"-102.50199890137, 60.291900634766"
Fort Reliance Seaplane Base,Fort Reliance,YFL,"-109.167, 62.7"
Cluff Lake Airport,Cluff Lake,XCL,"-109.51599884, 58.3911018372"
Knee Lake Airport,Knee Lake,YKE,"-94.798103, 54.915298"
Summer Beaver Airport,Summer Beaver,SUR,"-88.54190063476562, 52.70859909057617"
Crooked Creek Airport,Crooked Creek,CKD,"-158.134994507, 61.8679008484"
Tisdale Airport,Tisdale,YTT,"-104.06700134277, 52.836700439453"
Wapekeka Airport,Angling Lake,YAX,"-89.57939910888672, 53.84920120239258"
Wunnumin Lake Airport,Wunnumin Lake,WNN,"-89.28919982910156, 52.89390182495117"
Opapimiskan Lake Airport,Opapimiskan Lake,YBS,"-90.3768997192, 52.6067008972"
North Spirit Lake Airport,North Spirit Lake,YNO,"-92.97109985351562, 52.4900016784668"
Crane Island Airstrip,Crane Island,CKR,"-122.9979, 48.5978"
Cordova Municipal Airport,Cordova,CKU,"-145.727005005, 60.5438995361"
North of Sixty Airport,Obre Lake,YDW,"-103.12899780273, 60.316398620605"
Chicken Airport,Chicken,CKX,"-141.95199585, 64.0712966919"
Clear Lake Metroport,Clear Lake,CLC,"-95.1383, 29.5555"
Coalinga Airport,,CLG,"-120.360116959, 36.1580433385"
New CametÃ¡ Airport,CametÃ¡,CMT,"-49.56, -2.2468"
Caia Airport,Caia,CMZ,"35.3341, -17.8331"
Tangshan SannÃ¼he Airport,Tangshan,TVS,"118.002624512, 39.7178001404"
Yinchuan Hedong International Airport,Yinchuan,INC,"106.393214, 38.322758"
Duplicate --Yantai Penglai International Airport,Yantai,YNT,"120.9872, 37.65722"
Yuanmou Air Base,Yuanmou,YUA,"101.88200378418, 25.737499237061"
Zhangjiakou Ningyuan Airport,Zhangjiakou,ZQZ,"114.930000305, 40.7386016846"
Baoshan Yunduan Airport,,BSD,"99.168297, 25.053301"
Dazu Air Base,Dazu,DZU,"105.773621, 29.636227"
Lintsang Airfield,Lincang,LNJ,"100.025001526, 23.738100051900002"
Shigatse Air Base,XigazÃª,RKZ,"89.311401, 29.3519"
Bao'anying Airport,Panzhihua,PZI,"101.79852, 26.54"
Zigong Airport,Zigong,ZKL,"104.625789, 29.376484"
Foshan Shadi Airport,Foshan,FUO,"113.069999695, 23.083299636799996"
Bazhong Enyang Airport,Bazhong,BZX,"106.644872, 31.73842"
Xinyang Minggang Airport,Xinyang,XAI,"114.079141, 32.540819"
Huizhou Airport,Huizhou,HUZ,"114.599998474, 23.0499992371"
Shaoguan Guitou Airport,Shaoguan,HSC,"113.42099762, 24.9785995483"
Jinggangshan Airport,Ji'an,JGS,"114.736999512, 26.856899261499997"
Baise Youjiang Airport,Baise,AEB,"106.959999084, 23.7206001282"
Dongying Shengli Airport,Dongying,DOY,"118.788002014, 37.5085983276"
Xingcheng Air Base,,XEN,"120.697998047, 40.580299377399996"
Altay Air Base,Altay,AAT,"88.08580780030002, 47.7498855591"
Tianshui Maijishan Airport,Tianshui,THQ,"105.86000061, 34.5593986511"
Zhangye Ganzhou Airport,Zhangye,YZY,"100.675003052, 38.8018989563"
Dandong Airport,Dandong,DDG,"124.286003, 40.0247"
Nantong Airport,Nantong,NTG,"120.975997925, 32.0708007812"
Bearskin Lake Airport,Bearskin Lake,XBE,"-91.0271987915039, 53.965599060058594"
Natuashish Airport,Natuashish,YNP,"-61.184399, 55.913898"
White River Seaplane Base,White River,YWR,"-85.223297, 48.6269"
Parry Sound Area Municipal Airport,Parry Sound,YPD,"-79.829697, 45.2575"
Brockville - Thousand Islands Regional Tackaberry Airport,Brockville,XBR,"-75.7502975464, 44.6394004822"
Kingfisher Lake Airport,Kingfisher Lake,KIF,"-89.85530090332031, 53.01250076293945"
Ogoki Post Airport,Ogoki Post,YOG,"-85.9017028809, 51.6585998535"
Proma Heliport,Bogota,PRM,"-74.084444, 4.728056"
El Troncal Airport,Arauquita,ARQ,"-71.388901, 7.02106"
La Chorrera Airport,La Chorrera,LCR,"-73.01667, -0.733333"
Las Cruces Airport,Sabana De Torres,SNT,"-73.505402, 7.38322"
TarapacÃ¡ Airport,TarapacÃ¡,TCD,"-69.747222, -2.894722"
Bar River Airport,Bar River,YEB,"-84.0922012329, 46.42029953"
Cape Orford Airport,,CPI,"152.081944444, -5.44833333333"
Parry Sound/Frying Pan Island-Sans Souci Seaplane Base,Frying Pan Island,YSI,"-80.137497, 45.173302"
Poplar Hill Airport,Poplar Hill,YHP,"-94.2556, 52.1133"
Keewaywin Airport,Keewaywin,KEW,"-92.8364028931, 52.991100311299995"
Sable Island Landing Strip,Sable Island,YSA,"-59.960289, 43.930292"
Lebel-sur-Quevillon Airport,Lebel-sur-QuÃ©villon,YLS,"-77.0171966553, 49.0303001404"
Snap Lake Airport,Snap Lake Mine,YNX,"-110.905998, 63.593601"
La Sarre Airport,La Sarre,SSQ,"-79.178596496582, 48.917198181152"
Chisasibi Airport,Chisasibi,YKU,"-78.91690063476562, 53.805599212646484"
Rentschler Heliport,East Hartford,EHT,"-72.6253, 41.7517"
TÃªte-Ã -la-Baleine Airport,TÃªte-Ã -la-Baleine,ZTB,"-59.38359832763672, 50.674400329589844"
Kegaska Airport,Kegaska,ZKG,"-61.265800476100004, 50.1958007812"
Chute-Des-Passes/Lac Margane Seaplane Base,Chutes-des-Passes,YWQ,"-71.138, 49.9434"
Donaldson Airport,Kattiniq,YAU,"-73.3214035034, 61.6622009277"
Ottawa / Rockcliffe Seaplane Base,Ottawa,TR7,"-75.64254283910002, 45.463832946100005"
La Romaine Airport,La Romaine,ZGS,"-60.679401, 50.259701"
Fontanges Airport,Fontanges,YFG,"-71.173301696777, 54.553901672363"
Lac Gagnon Seaplane Base,Duhamel,YGA,"-75.115303039551, 46.117500305176"
La TabatiÃ¨re Airport,La TabatiÃ¨re,ZLT,"-58.97560119628906, 50.8307991027832"
Preston Airport,Preston,PST,"-75.6583023071289, 20.735000610351562"
Culion Airport,Culion Island,CUJ,"119.9378, 11.8553"
Hollister Municipal Airport,Hollister,HLI,"-121.410003662, 36.8932991028"
Cape Vogel Airport,,CVL,"150.019722222, -9.67"
Hughes Airport,Culver City,CVR,"-118.417, 33.975"
Chitina Airport,Chitina,CXC,"-144.427001953, 61.582901001"
Lefkoniko Airport,GeÃ§itkale,GEC,"33.724358, 35.235947"
Nicosia International Airport,Nicosia,NIC,"33.2787017822, 35.1507987976"
Arctic Bay Airport,Arctic Bay,YAB,"-85.0425052643, 73.0057668174"
Cat Lake Airport,Cat Lake,YAC,"-91.82440185546875, 51.72719955444336"
La Grande-3 Airport,La Grande-3,YAR,"-76.19640350339999, 53.5717010498"
Fort Frances Municipal Airport,Fort Frances,YAG,"-93.439697265625, 48.65420150756836"
La Grande-4 Airport,La Grande-4,YAH,"-73.6753005981, 53.754699707"
Alert Bay Airport,Alert Bay,YAL,"-126.91600036621094, 50.58219909667969"
Sault Ste Marie Airport,Sault Ste Marie,YAM,"-84.509399, 46.485001"
Kasabonika Airport,Kasabonika,XKS,"-88.6427993774414, 53.52470016479492"
Kangirsuk Airport,Kangirsuk,YKG,"-69.99919891357422, 60.027198791503906"
Attawapiskat Airport,Attawapiskat,YAT,"-82.43190002441406, 52.9275016784668"
St. Anthony Airport,St. Anthony,YAY,"-56.083099365200006, 51.3918991089"
Tofino / Long Beach Airport,Tofino,YAZ,"-125.775583, 49.079833"
Banff Airport,Banff,YBA,"-115.541861057, 51.207340469900004"
Kugaaruk Airport,Kugaaruk,YBB,"-89.808098, 68.534401"
Baie Comeau Airport,Baie-Comeau,YBC,"-68.204399, 49.1325"
Bella Coola Airport,Bella Coola,QBC,"-126.596001, 52.387501"
Uranium City Airport,Uranium City,YBE,"-108.48100280761719, 59.5614013671875"
Bonnyville Airport,Bonnyville,YBY,"-110.744003, 54.304199"
CFB Bagotville,Bagotville,YBG,"-70.99639892578125, 48.33060073852539"
Baker Lake Airport,Baker Lake,YBK,"-96.077796936, 64.29889678960001"
Campbell River Airport,Campbell River,YBL,"-125.271004, 49.950802"
Tadoule Lake Airport,Tadoule Lake,XTL,"-98.512199, 58.7061"
Brandon Municipal Airport,Brandon,YBR,"-99.951897, 49.91"
Brochet Airport,Brochet,YBT,"-101.679001, 57.8894"
